,id,id_lat,id_lon,Venue,Venue_lat,Venue_lon,Venue_cat
1158,Notre-Dame,48.8528955862,2.35277501212,Pain d'Epices,48.85328136217487,2.3537753202645795,French Restaurant
1159,Notre-Dame,48.8528955862,2.35277501212,Hôtel Saint-Louis,48.85266784726747,2.3541636327891102,Hotel
1160,Notre-Dame,48.8528955862,2.35277501212,Quai de Bourbon,48.853389357825314,2.3544875372175054,Waterfront
1161,Notre-Dame,48.8528955862,2.35277501212,Café Med,48.85272560657876,2.353989380912962,French Restaurant
1162,Notre-Dame,48.8528955862,2.35277501212,La Cure Gourmande,48.85232662171789,2.3552493381013444,Candy Store
1163,Notre-Dame,48.8528955862,2.35277501212,Brasserie de l'Isle Saint-Louis,48.85305030738144,2.3534024599939585,Brasserie
1164,Notre-Dame,48.8528955862,2.35277501212,La Sarrasine,48.853177,2.353939,Creperie
1165,Notre-Dame,48.8528955862,2.35277501212,Sens'o,48.85283715956333,2.3536333268046414,Restaurant
1166,Notre-Dame,48.8528955862,2.35277501212,L'Esmeralda,48.852827932832184,2.3519378900527954,Brasserie
1167,Notre-Dame,48.8528955862,2.35277501212,Esterina,48.852763481766594,2.35395140679446,Ice Cream Shop
1168,Notre-Dame,48.8528955862,2.35277501212,Le Petit Plateau,48.852959024654865,2.3523689892803272,Tea Room
1169,Monnaie,48.8543844036,2.34003537113,Chez Nous,48.855823217287835,2.340271085661046,Wine Bar
1170,Monnaie,48.8543844036,2.34003537113,Prescription Cocktail Club,48.85490753068169,2.3379032776557147,Cocktail Bar
1171,Monnaie,48.8543844036,2.34003537113,Ze Kitchen Galerie,48.85510110130317,2.341297271887015,Restaurant
1172,Monnaie,48.8543844036,2.34003537113,Chez le Libanais,48.85328503500076,2.3416730761528015,Lebanese Restaurant
1173,Monnaie,48.8543844036,2.34003537113,Maison Sauvage,48.85374384095544,2.337993110279558,French Restaurant
1174,Monnaie,48.8543844036,2.34003537113,La Jacobine,48.85311209502733,2.3390570452594,French Restaurant
1175,Monnaie,48.8543844036,2.34003537113,Taschen Store,48.85374983410963,2.338161686142449,Bookstore
1176,Monnaie,48.8543844036,2.34003537113,Amorino,48.85373529504284,2.3379843807683955,Ice Cream Shop
1177,Monnaie,48.8543844036,2.34003537113,Hôtel d'Aubusson,48.85472883599233,2.3395052403718175,Hotel
1178,Monnaie,48.8543844036,2.34003537113,Chez Fernand,48.854475,2.339672,French Restaurant
1179,Monnaie,48.8543844036,2.34003537113,La Cabane Opium,48.85406530364867,2.3388080780183023,Fish & Chips Shop
1180,Monnaie,48.8543844036,2.34003537113,Wok Saint-Germain,48.854305893036596,2.3390275205239917,Asian Restaurant
1181,Monnaie,48.8543844036,2.34003537113,Mariage Frères,48.85441852671251,2.340759312080956,Tea Room
1182,Monnaie,48.8543844036,2.34003537113,Citadines Saint-Germain-des-Prés Paris,48.85517110605024,2.3409717741939065,Hotel
1183,Monnaie,48.8543844036,2.34003537113,Relais Christine,48.85427410932685,2.3399938315939415,Hotel
1184,Monnaie,48.8543844036,2.34003537113,Kodawari Ramen,48.854640433111925,2.338068187236786,Ramen Restaurant
1185,Monnaie,48.8543844036,2.34003537113,KGB (Kitchen Galerie Bis),48.85376422485837,2.3403903158346213,Restaurant
1186,Monnaie,48.8543844036,2.34003537113,Café Laurent,48.854748434451814,2.3394359764147192,Hotel Bar
1187,Monnaie,48.8543844036,2.34003537113,Dilettantes,48.85442988857456,2.3408258333802223,Wine Shop
1188,Monnaie,48.8543844036,2.34003537113,Maoz Vegetarian,48.853417038994834,2.341637035950711,Falafel Restaurant
1189,Monnaie,48.8543844036,2.34003537113,Café Le Buci,48.85379513420603,2.3382850402302333,Café
1190,Monnaie,48.8543844036,2.34003537113,Malongo Café,48.853428044224316,2.340627252155607,Coffee Shop
1191,Monnaie,48.8543844036,2.34003537113,L'Atlas,48.853796737132306,2.3377575536434887,French Restaurant
1192,Monnaie,48.8543844036,2.34003537113,Pizza César,48.85395029622129,2.3382779175558217,Pizza Place
1193,Monnaie,48.8543844036,2.34003537113,Les Bouquinistes,48.855193,2.341362,French Restaurant
1194,Monnaie,48.8543844036,2.34003537113,Hôtel Dauphine St Germain,48.85445030417812,2.3390629408936836,Hotel
1195,Monnaie,48.8543844036,2.34003537113,Le Procope,48.85310080391785,2.3386491747048774,French Restaurant
1196,Monnaie,48.8543844036,2.34003537113,Allard,48.85329421230692,2.340995818376541,French Restaurant
1197,Monnaie,48.8543844036,2.34003537113,Bistro des Augustins,48.854727,2.342093,Café
1198,Monnaie,48.8543844036,2.34003537113,Galerie Kamel Mennour,48.85340834919419,2.339942902749244,Art Gallery
1199,Monnaie,48.8543844036,2.34003537113,Blend,48.853583550287745,2.3384622108244306,Burger Joint
1200,Monnaie,48.8543844036,2.34003537113,Volver,48.855310597681566,2.339829241405954,Argentinian Restaurant
1201,Monnaie,48.8543844036,2.34003537113,L'Alcazar,48.85454760390999,2.3376782061661867,French Restaurant
1202,Monnaie,48.8543844036,2.34003537113,Un Dimanche à Paris,48.852868319547035,2.339109371022679,Café
1203,Monnaie,48.8543844036,2.34003537113,The Highlander,48.856119499782324,2.3399550723041402,Pub
1204,Monnaie,48.8543844036,2.34003537113,Café de Paris,48.853885,2.337616,French Restaurant
1205,Monnaie,48.8543844036,2.34003537113,Cour du Commerce Saint-André,48.85307665588965,2.339055610011011,Pedestrian Plaza
1206,Monnaie,48.8543844036,2.34003537113,Bar Etna,48.854489,2.338158,Wine Bar
1207,Monnaie,48.8543844036,2.34003537113,The Mazet,48.8535755985459,2.338942521227045,Bar
1208,Monnaie,48.8543844036,2.34003537113,Eric Kayser,48.85328252042992,2.338580282479722,Bakery
1209,Monnaie,48.8543844036,2.34003537113,Lapérouse,48.85529718717213,2.3416305316683514,French Restaurant
1210,Champs-Elysées,48.8670744922,2.30865168468,Chanel,48.867308,2.307515,Boutique
1211,Champs-Elysées,48.8670744922,2.30865168468,Christian Dior,48.86701009010538,2.3064190948048195,Tailor Shop
1212,Champs-Elysées,48.8670744922,2.30865168468,Gucci,48.868251501356546,2.309490591287613,Tailor Shop
1213,Champs-Elysées,48.8670744922,2.30865168468,Théâtre du Rond-Point,48.86796472963424,2.3104146977819924,Theater
1214,Champs-Elysées,48.8670744922,2.30865168468,Fendi,48.86786689244969,2.307879217826012,Clothing Store
1215,Champs-Elysées,48.8670744922,2.30865168468,L'Avenue,48.86725728728338,2.3062773048877716,French Restaurant
1216,Champs-Elysées,48.8670744922,2.30865168468,Hôtel San Régis,48.86668026835116,2.3084497340290806,Hotel
1217,Champs-Elysées,48.8670744922,2.30865168468,Place François 1er,48.86626890502491,2.3079122869144872,Plaza
1218,Champs-Elysées,48.8670744922,2.30865168468,Balenciaga,48.86848370701226,2.3081144957008064,Boutique
1219,Champs-Elysées,48.8670744922,2.30865168468,Yves Saint Laurent,48.86798930689829,2.308023886946504,Women's Store
1220,Champs-Elysées,48.8670744922,2.30865168468,La Table du Huit,48.86686349850318,2.308868225385194,French Restaurant
1221,Champs-Elysées,48.8670744922,2.30865168468,Lasserre,48.86627508768674,2.3101569700324203,French Restaurant
1222,Champs-Elysées,48.8670744922,2.30865168468,Dior Homme,48.867112673972045,2.3063008505187272,Men's Store
1223,Champs-Elysées,48.8670744922,2.30865168468,Salvatore Ferragamo,48.8675882824824,2.30690266190322,Leather Goods Store
1224,Champs-Elysées,48.8670744922,2.30865168468,Artcurial,48.86867258377579,2.309016291986066,Art Gallery
1225,Champs-Elysées,48.8670744922,2.30865168468,Palais de la Découverte,48.866329517068024,2.310594041178324,Science Museum
1226,Champs-Elysées,48.8670744922,2.30865168468,Céline,48.868078338921684,2.308161684521944,Clothing Store
1227,Champs-Elysées,48.8670744922,2.30865168468,Caffè Artcurial,48.86881935570679,2.308619778308503,Restaurant
