,name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id,google_name,google_rating,google_nbrating,google_address,google_type,google_lat,google_lon,distance,cluster_labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,marker_color
1014,Hotel du Triangle d'Or Paris,4bc8e3ed762beee134a73d38,48.870425932842394,2.326757340491332,75009,Paris,"['6 rue Godot de Mauroy', '75009 Paris', 'France']",Hotel,75009,9,27,ChIJzVVmljNu5kcRk-cwqeiSWoU,Hôtel du Triangle d'Or,4.3,254.0,"6 Rue Godot de Mauroy, 75009 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8705718,2.3268985,0.019245152480921086,1,Hotel,Gourmet Shop,Café,Plaza,Sandwich Place,French Restaurant,Boutique,Athletics & Sports,Chocolate Shop,Greek Restaurant,blue
1015,Hôtel Royal Opéra,4b5dac6df964a5202f6629e3,48.87228572622689,2.3252785695385563,75008,Paris,"['5 rue de Castellane', '75008 Paris', 'France']",Hotel,75008,8,7,ChIJJ1EhmzRu5kcRhmm0-j2ezPE,Hôtel Royal Opéra,3.7,98.0,"5 Rue de Castellane, 75008 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.87219320000001,2.3252685,0.010316069489425534,1,Hotel,French Restaurant,Gourmet Shop,Theater,Boutique,Restaurant,Seafood Restaurant,Park,Lingerie Store,Café,blue
1016,Hôtel Saint Petersbourg,4adcda02f964a520933121e3,48.87213703807363,2.328147344500392,75009,Paris,"['33-35 rue de Caumartin', '75009 Paris', 'France']",Hotel,75009,9,43,ChIJA-U9DzRu5kcRZ8fyQfNIYFY,Hôtel Saint Petersbourg Opéra,4.2,359.0,"35 Rue de Caumartin, 75009 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.87214969999999,2.3281301,0.0018928974049071028,0,French Restaurant,Plaza,Hotel,Chocolate Shop,Boutique,Tea Room,Gourmet Shop,Theater,Lounge,Sandwich Place,red
1017,Hôtel Opéra Richepanse,550c2e01498e074a6162869b,48.868732845538226,2.3252555950039087,75001,Paris,"['14 rue du Chevalier de Saint-George', '75001 Paris', 'France']",Hotel,75001,1,22,ChIJF3B8-zJu5kcRlONPqZx_HQk,Hôtel Opéra Richepanse - 4 étoiles Paris,4.6,135.0,"14 Rue du Chevalier de Saint-George, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8686565,2.3252607000000003,0.008498429570649422,0,French Restaurant,Boutique,Hotel,Women's Store,Dessert Shop,Men's Store,Gourmet Shop,Clothing Store,Tea Room,Sandwich Place,red
1018,Hôtel Malte Opéra,4bd73182304fce72f23233ab,48.867223492558615,2.337442892098796,75002,Paris,"['63 rue de Richelieu', '75002 Paris', 'France']",Hotel,75002,2,12,ChIJPVgsJTtu5kcRtBM6lLw4Pcc,Hôtel Malte - Astotel,4.5,279.0,"63 Rue de Richelieu, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8671771,2.3375721,0.010792488067737511,0,French Restaurant,Japanese Restaurant,Ramen Restaurant,Udon Restaurant,Korean Restaurant,Café,Clothing Store,Pastry Shop,Cycle Studio,Gourmet Shop,red
1019,Nolinski,579fbf15498e7f9f1b92154f,48.865367258517296,2.334584093466681,75001,Paris,"[""16 avenue de l'Opéra"", '75001 Paris', 'France']",Hotel,75001,1,30,ChIJnxdHQyVu5kcRLjQUMjERLjo,Nolinski Paris,4.6,187.0,"16 Avenue de l'Opéra, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8655013,2.3348508999999997,0.024604680394707118,0,Japanese Restaurant,Hotel,Ramen Restaurant,Coffee Shop,Udon Restaurant,Café,French Restaurant,Korean Restaurant,Bakery,Bookstore,red
1020,Grand Hôtel du Palais Royal,4b50f4d4f964a5207e3a27e3,48.86318291896972,2.3379009305339022,75001,Paris,"['4 rue de Valois', '75001 Paris', 'France']",Hotel,75001,1,56,ChIJpT58XyRu5kcRebe-VXwklTo,Grand Hôtel du Palais Royal,4.5,236.0,"4 Rue de Valois, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8631783,2.3379508999999996,0.0037021674942114557,0,Hotel,Bar,Plaza,French Restaurant,Café,Bakery,Spa,Smoke Shop,Garden,Shoe Store,red
1021,Drawing Hotel,595fda119be5224b9b2114fd,48.86440282740346,2.3360431492306266,75001,Paris,"['75001 Paris', 'France']",Hotel,75001,1,11,ChIJ81-fDyVu5kcRoVh0Ti5Vj6w,Drawing Hotel,4.5,127.0,"17 Rue de Richelieu, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8644382,2.3359148,0.010205582240011096,0,Café,Hotel,Japanese Restaurant,Coffee Shop,Ramen Restaurant,Cosmetics Shop,Korean Restaurant,Udon Restaurant,Bar,French Restaurant,red
1022,La Clef Louvre Paris  ,571fe799498ef36a9fd63f1a,48.86397721115658,2.336139678955078,75001,Paris,"['8 rue de Richelieu', '75001 Paris', 'France']",Hotel,75001,1,14,ChIJzaSeByVu5kcRtL4twIpmyvs,La Clef Louvre Paris,4.6,131.0,"8 Rue de Richelieu, 75001 Paris, France","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",48.86397580000001,2.3361407,0.00017389499645036678,0,Hotel,Café,Coffee Shop,Cosmetics Shop,Plaza,Bar,French Restaurant,Ramen Restaurant,Japanese Restaurant,Ice Cream Shop,red
1023,Hôtel Odyssey,4e84be772fb6611bdfd70908,48.865080155791944,2.3417756464352446,75001,Paris,"['19 rue Herold', '75001 Paris', 'France']",Hotel,75001,1,35,ChIJm0R-IiNu5kcRktScU5npudM,Hôtel Odyssey,4.3,210.0,"19 Rue Hérold, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.865114399999996,2.3416101,0.012729019977308026,0,French Restaurant,Restaurant,Clothing Store,Hotel,Bistro,Boutique,Bakery,Cocktail Bar,Coffee Shop,Salad Place,red
1025,Hôtel Louvre Piémont,4e268508628436bf4d68b425,48.864846214066134,2.3365312814712524,75001,Paris,"['22 rue de Richelieu', '75001 Paris', 'France']",Hotel,75001,1,4,ChIJofR5HiVu5kcRn2Gq-6eUOL8,Hôtel Louvre Piemont,4.1,96.0,"22 Rue de Richelieu, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86482600000001,2.336583000000001,0.004410443218156475,0,French Restaurant,Japanese Restaurant,Hotel,Café,Udon Restaurant,Ramen Restaurant,Korean Restaurant,Plaza,Clothing Store,Bar,red
1026,Hotel Thérèse,4bea4031b3352d7f470655d2,48.865893884970816,2.3361507843090554,75001,Paris,"['5 rue Thérèse', '75001 Paris', 'France']",Hotel,75001,1,22,ChIJw8i8LyVu5kcRkU9makcIJhc,Hôtel Thérèse,4.5,156.0,"5 Rue Thérèse, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.865891600000005,2.3360536,0.007134748816302196,0,Japanese Restaurant,French Restaurant,Hotel,Ramen Restaurant,Café,Udon Restaurant,Clothing Store,Bakery,Coffee Shop,Herbs & Spices Store,red
1027,Hôtel Molière,4d878fb87d552d43abc0d0eb,48.86546909587968,2.3362403879499856,75001,Paris,"['21, rue Moliere', '75001 Paris', 'France']",Hotel,75001,1,9,ChIJMW2scyVu5kcRIMT7Z6oU5NM,Hôtel Molière,4.7,97.0,"21 Rue Molière, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.865412899999995,2.336254400000001,0.0063333766751261554,0,Japanese Restaurant,French Restaurant,Ramen Restaurant,Hotel,Korean Restaurant,Café,Udon Restaurant,Coffee Shop,Clothing Store,Wine Bar,red
1028,TimHotel Palais Royal,4c1d16c7b306c9287ef264b7,48.866351602701634,2.3401286289764647,75002,Paris,"['3 Rue de la Banque (Rue des Petits Champs)', '75002 Paris', 'France']",Hotel,75002,2,17,ChIJ83jsrDxu5kcREhwuqQ4GI1k,Timhotel Palais Royal,3.8,245.0,"3 Rue de la Banque, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8664241,2.3399002,0.01859760339491606,0,French Restaurant,Boutique,Bistro,Italian Restaurant,Bakery,Clothing Store,Thai Restaurant,Brasserie,Salad Place,Ch'ti Restaurant,red
1031,Golden Tulip Washington Opéra,5501de59498eeec8e8160cf4,48.86630652043912,2.337238806843228,75001,Paris,"['50 rue de Richelieu', '75001 Paris', 'France']",Hotel,75001,1,5,ChIJx9uj0yRu5kcR7EyBEA0mcO0,Golden Tulip Hotel Washington Opera Hotel,3.8,141.0,"50 Rue de Richelieu, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86626949999999,2.3372536,0.0042575965796695925,0,Japanese Restaurant,French Restaurant,Ramen Restaurant,Coffee Shop,Clothing Store,Udon Restaurant,Bubble Tea Shop,Bar,Taiwanese Restaurant,General College & University,red
1032,Hotel Opera Maintenon,4de2c259fa7651589f075ab5,48.86684204182973,2.3358211648134866,,Paris,"['36 rue Saint-Anne', 'Paris', 'France']",Hotel,75001,1,2,ChIJ4SDIzjpu5kcR1BQsUtXwVm4,Hôtel Opéra Maintenon,4.0,118.0,"36 Rue Sainte-Anne, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86678009999999,2.3358493,0.007191006171992919,0,Japanese Restaurant,Ramen Restaurant,French Restaurant,Coffee Shop,Hotel,Korean Restaurant,Sandwich Place,Bakery,Udon Restaurant,Taiwanese Restaurant,red
1033,Best Western Paris Louvre Opéra,4adcda01f964a520393121e3,48.8665567407174,2.3351724538224516,75001,Paris,"['4 rue des Moulins', '75001 Paris', 'France']",Hotel,75001,1,8,ChIJw26gszpu5kcR5rCjDst6EbQ,Hotel Paris Louvre Opera,4.2,144.0,"4 Rue des Moulins, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8665424,2.3351876,0.001943756717584756,0,Japanese Restaurant,Hotel,Ramen Restaurant,French Restaurant,Bakery,Korean Restaurant,Sandwich Place,Coffee Shop,Udon Restaurant,Italian Restaurant,red
1039,Hotel Louvre Richelieu,4d2b110b068e8cfa6d72df4c,48.866488,2.3373,,Paris,"['52 rue de richelieu', 'Paris', 'France']",Hotel,75001,1,2,ChIJw2y61CRu5kcRzPFB9I6lvaw,Hôtel Louvre Richelieu,3.7,72.0,"51 Rue de Richelieu, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86650259999999,2.3371606,0.010355457582910049,0,Japanese Restaurant,Ramen Restaurant,French Restaurant,Coffee Shop,Clothing Store,Udon Restaurant,Hotel,New American Restaurant,Taiwanese Restaurant,General College & University,red
1044,Hôtel Montpensier,4adcda02f964a520883121e3,48.864344223363155,2.3363113403320312,75001,Paris,"['12 rue de Richelieu', '75001 Paris', 'France']",Hotel,75001,1,4,ChIJQeJsBiVu5kcRWEuZ-rXcca4,Hôtel Montpensier,3.8,199.0,"12 Rue de Richelieu, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.864275,2.3362098,0.010712817316903319,0,Hotel,Café,Coffee Shop,Japanese Restaurant,Ramen Restaurant,Udon Restaurant,Cosmetics Shop,French Restaurant,Bar,Korean Restaurant,red
1050,Hôtel Square Louvois,57487afd498eab125136394e,48.86838850804118,2.336714828720246,75002,Paris,"['12 rue de Louvois (rue Sainte-Anne)', '75002 Paris', 'France']",Hotel,75002,2,17,ChIJb-ch_Tpu5kcRW5GyuHL1OnI,Hôtel Square Louvois,4.7,240.0,"12 Rue de Louvois, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8684483,2.3369112000000003,0.015867095749705924,0,Japanese Restaurant,Ramen Restaurant,Korean Restaurant,Hotel,Taiwanese Restaurant,Sandwich Place,Gourmet Shop,Pastry Shop,Park,Tapas Restaurant,red
1051,Hôtel Ascot Opéra,4adcda01f964a520fe3021e3,48.868231956890575,2.3351535465850186,75002,Paris,"['2 rue Monsigny', '75002 Paris', 'France']",Hotel,75002,2,12,ChIJkXymkTpu5kcRDrOjAeTc7ZY,Hotel Ascot Opéra,3.9,175.0,"2 Rue Monsigny, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8681936,2.3352999,0.011553431200118031,0,Japanese Restaurant,Hotel,Ramen Restaurant,Sandwich Place,Italian Restaurant,Bookstore,Korean Restaurant,Taiwanese Restaurant,Pastry Shop,Salad Place,red
1052,Hotel Baudelaire,4c09708702c9d13a27c973dd,48.86793854759062,2.3363800077272328,75002,Paris,"['61 Rue Sainte-Anne (Rue Rameau)', '75002 Paris', 'France']",Hotel,75002,2,4,ChIJc4W56Dpu5kcRm6nscS9hMHI,Hotel Baudelaire Opera,3.4,76.0,"61 Rue Sainte-Anne, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.868013,2.3362689999999997,0.011613722136311073,0,Japanese Restaurant,Ramen Restaurant,Sandwich Place,French Restaurant,Coffee Shop,Korean Restaurant,Hotel,Convenience Store,Clothing Store,Bistro,red
1053,Hotel Île-de-France Opera,4d024cb657e2a0935532d536,48.86889613219246,2.334660075112181,75002,Paris,"['26 rue Saint-Augustin', '75002 Paris', 'France']",Hotel,75002,2,1,ChIJiQI7hzpu5kcRirk1vaahJnM,Hôtel Ile de France Opéra,3.7,83.0,"26 Rue Saint-Augustin, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86899700000001,2.3346669999999996,0.011228724951584671,0,Japanese Restaurant,Hotel,Sandwich Place,Bookstore,Bistro,Restaurant,Gourmet Shop,Taiwanese Restaurant,Pastry Shop,Salad Place,red
1058,Hôtel Louvre Marsollier Opéra,4b8952d8f964a5209e2b32e3,48.868162888926584,2.334837482486314,75001,Paris,"['13 rue Marsollier', '75001 Paris', 'France']",Hotel,75002,2,5,ChIJ6byMmzpu5kcRZE24E9TpZ98,Hotel Louvre Marsollier,3.9,137.0,"13 Rue Marsollier, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.868132700000004,2.3346417,0.014750661582071427,0,Japanese Restaurant,Hotel,Italian Restaurant,Korean Restaurant,Sandwich Place,Taiwanese Restaurant,Ramen Restaurant,Pastry Shop,Bookstore,Burger Joint,red
1060,Paris Marriott Opera Ambassador Hotel,4b1cb9a7f964a520420924e3,48.872696552304994,2.336472272872925,75009,Paris,"['16 boulevard Haussmann', '75009 Paris', 'France']",Hotel,75009,9,127,ChIJU9F_njlu5kcRIb7qtT-jmk4,Paris Marriott Opera Ambassador Hotel,4.2,1058.0,"16 Boulevard Haussmann, 75009 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.87272180000001,2.3367218999999997,0.018526163855304967,0,French Restaurant,Hotel,Convenience Store,Coffee Shop,Café,Sandwich Place,Salad Place,Bistro,Chinese Restaurant,Resort,red
1061,Millennium Hôtel Paris Opéra,4b9659c2f964a52085c734e3,48.872438,2.337952,75009,Paris,"['12 boulevard Haussmann', '75009 Paris', 'France']",Hotel,75009,9,53,ChIJ77Bzdjlu5kcRNgP1zORrya8,Millennium Hotel Paris Opera,4.1,483.0,"12 Boulevard Haussmann, 75009 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8724973,2.3378894,0.00803599874479862,1,Hotel,French Restaurant,Sandwich Place,Mexican Restaurant,Toy / Game Store,Arcade,Furniture / Home Store,Tea Room,Café,Vietnamese Restaurant,blue
1063,Hôtel Icône,4b86fc6ff964a520cca931e3,48.871047711007115,2.3389817469011365,,Paris,"['4 rue Ambroise', 'Paris', 'France']",Hotel,75002,2,11,ChIJpQvq5Dtu5kcR0COam2f7v_I,Hôtel Icône,3.8,117.0,"4 Rue d'Amboise, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.87110699999999,2.3390609,0.008785802261911637,0,French Restaurant,Arcade,Furniture / Home Store,Mexican Restaurant,Café,Pedestrian Plaza,Sandwich Place,Toy / Game Store,Coffee Shop,New American Restaurant,red
1064,Hotel Lautrec Opera,4dfee284d164f31b7bcfa76f,48.871142606610405,2.3385067766273626,75002,Paris,"['8-10 rue d’Amboise', '75002 Paris', 'France']",Hotel,75002,2,4,ChIJGeXJ3jtu5kcRFe1jwQkUGPU,Hotel Lautrec Opera,3.7,222.0,"8-10 Rue d'Amboise, 75002 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8711612,2.3386131000000003,0.008069338140392948,0,French Restaurant,Italian Restaurant,Mexican Restaurant,Café,Furniture / Home Store,Hotel,Arcade,Toy / Game Store,Sandwich Place,Ethiopian Restaurant,red
1066,Citadines Opéra-Grands Boulevards,4c588b99f346c928937d4aca,48.8713247271933,2.338678204484633,75002,Paris,"['18 rue Favart', '75002 Paris', 'France']",Hotel,75002,2,13,ChIJWwn1YTlu5kcRAHsCIbwCUX8,Citadines Opéra Paris (Apart hotel Paris),4.1,188.0,"18 Rue Favart, 75002 Paris, France","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",48.8713544,2.3383302,0.02574201260329351,0,French Restaurant,Italian Restaurant,Mexican Restaurant,Café,Furniture / Home Store,Hotel,Arcade,Toy / Game Store,Sandwich Place,Ethiopian Restaurant,red
