,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
68,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Adagio City Aparthotel Paris XV,48.83086020048805,2.2820292399454414,Hotel
69,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Le Versailles,48.83010459414927,2.2844436135595214,French Restaurant
70,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,L'Olivier,48.829889524016956,2.283882683609636,Pizza Place
71,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Shoka,48.830138079027634,2.2846148951576253,Japanese Restaurant
72,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Urban Sushi,48.83039110851351,2.284474818520729,Sushi Restaurant
73,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Petit Casino,48.829079107620906,2.282895198568236,Convenience Store
74,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Parc des Varennes,48.82974935923555,2.283052486161525,Park
75,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,OKKO HOTELS Paris Porte de Versailles,48.832716659056075,2.2783233559154077,Hotel
76,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,Aquaboulevard,48.831680190235176,2.276390790939331,Water Park
77,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,New Toyoyaki,48.831292,2.279263,Japanese Restaurant
78,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,Le Boyard,48.83113643341814,2.278789028117839,Bar
79,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,Decathlon,48.8329975470873,2.2766948062210304,Sporting Goods Shop
80,OKKO HOTELS Paris Porte de Versailles,48.83271665905608,2.278323355915408,Pizza Trattoria,48.833149,2.277001,Pizza Place
81,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Sushiken,48.82951159082831,2.2835384862673704,Japanese Restaurant
82,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Le Jardin Suspendu,48.832216015111136,2.2823318386097067,Roof Deck
83,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Hôtel Océania Paris Porte de Versailles,48.83045019514152,2.284402596545703,Hotel
84,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Adagio Porte de Versailles,48.830724101927764,2.280843084884449,Hotel
85,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Okayama,48.82937731361141,2.2832842141435785,Japanese Restaurant
86,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Adagio City Aparthotel Paris XV,48.83086020048805,2.2820292399454414,Hotel
87,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,Le Versailles,48.83010459414927,2.2844436135595214,French Restaurant
88,Adagio City Aparthotel Paris XV,48.83086020048804,2.2820292399454414,L'Olivier,48.829889524016956,2.283882683609636,Pizza Place
89,Hôtel Médian,48.83617174312476,2.2790783643722534,La Table d'Hubert,48.837085781109536,2.279297329544278,French Restaurant
90,Hôtel Médian,48.83617174312476,2.2790783643722534,Villa Eva,48.835470979193325,2.281188039600159,Pizza Place
91,Hôtel Médian,48.83617174312476,2.2790783643722534,Casino Supermarché,48.83634,2.28173,Supermarket
