name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id
Taj Palace,4cba459cadcd54816f3622a2,48.828478999999994,2.26689,,Issy-les-Moulineaux,"['58 bvd Gallieni', 'Issy-les-Moulineaux', 'France']",Hotel,92130,0,0,ChIJYY-RrxPZ5UcRie-0uWao9lA
Ibis Styles Paris 16 Sud,5a1459752347243478ea8354,48.836490000000005,2.2534046,75016,Paris,"['19 Avenue Ferdinand Buisson', '75016 Paris', 'France']",Hotel,92100,0,5,ChIJZwAJN5V65kcR33biUviilIY
Radisson Blu Hôtel Paris Boulogne,4adcda03f964a520c53121e3,48.83623314686507,2.2528946269836747,92100,Paris,"['31-33 Avenue Edouard Vaillant', '92100 Paris', 'France']",Hotel,92100,0,64,ChIJBxcBzOp65kcRwFG5ankIEmU
Holiday Inn Paris-Auteuil,4e7bd11352b14ada783cf874,48.8379973,2.2585556,75016,Paris,"['21 rue Gudin', '75016 Paris', 'France']",Hotel,75016,16,12,ChIJVx7YA7565kcRC1rxyKhvhhY
Mercure Paris Porte de St Cloud,4adcda03f964a520da3121e3,48.83398404878152,2.2561302120815,92100,Boulogne-Billancourt,"['37 place René Clair', '92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,22,ChIJHQcOX5R65kcRQI7zSPq8JY8
Best Western Hotel Ohm,4fa63c79e4b0ac15d052ed5c,48.83936449093261,2.263396829366684,75016,Paris,"['11 rue Claude Terrasse', '75016 Paris', 'France']",Hotel,75016,16,5,ChIJve3uPb165kcRogkGe9cCI9M
Hotel Exelmans,4bd7321a304fce72b53333ab,48.84135806383709,2.262674921899631,75016,Paris,"['73 Rue Boileau', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJ81vJkrx65kcRFb3Z4Veu26o
Cabernet Sauvignon Conference Room,5c34964e286fda002c3274e1,48.836437,2.2529187000000004,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,0,
P L R,51b8b524498e254ce6738de3,48.83816909790039,2.2543423175811768,,,['France'],Resort,75016,16,0,ChIJVVXBj-565kcRg3L0Z0Akt8g
Pinot Noir Conference Room,5c34ee40121384002c9c1c91,48.836304,2.252883,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,0,
Le Grind,4df7b89c81dccac4a339022d,48.84260469679085,2.259664535522461,,Paris,"['Bd. Exelmans', 'Paris', 'France']",Hotel,75016,16,0,ChIJq6q6yN165kcROulporl6cfw
Hôtel Murat,4bc8d278762beee1208f3d38,48.83732261790986,2.2587996218198207,75016,Paris,"['119 bis boulevard Murat', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJZ_ny_ZV65kcRSYBNOaEfoFI
Hotel Acropolis,50375b51e4b0024b233c66f0,48.83593262805668,2.2492367308869685,,,['France'],Hotel,92100,0,2,ChIJG50dT-p65kcRrq6c9U0-hxg
