name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike
Hotel Studia,4cc1139143646dcb264f438c,48.850269,2.3476439999999457,75005,Paris,"['51, Boul. Sa. Germain', '75005 Paris', 'France']",Hotel,75005,5,1
Hotel des Carmes,4dd3bcd3b0fbf653b643c7d4,48.84921719871328,2.347653313653473,75005,Paris,"['5 rue des Carmes', '75005 Paris', 'France']",Hotel,75005,5,5
Hotel du Commerce Paris,4be196b08dd062b522653e3c,48.84889912076833,2.3485367192844064,,Paris,"['14 Rue de la Montagne, Sainte GeneviÃ¨ve', 'Paris', 'France']",Hotel,75005,5,1
Hôtel La Lanterne,587d11ec03cf251b2f9bd3b3,48.848822999999996,2.348577,75005,Paris,"['12 rue de la Montagne Sainte Geneviève', '75005 Paris', 'France']",Hotel,75005,5,2
Hôtel du College de France,4adcda02f964a520813121e3,48.84976608494684,2.346085490053706,75005,Paris,"['7 rue Thénard', '75005 Paris', 'France']",Hotel,75005,5,10
Hotel Jean-Jacques,4d417d20c5eaa1cd9643ab50,48.848911,2.347481,,,['France'],Hotel,75005,5,0
Best Western La Tour Notre Dame,4fb2ea94e4b0e3115baa132c,48.85025233182592,2.3450816898510465,,Paris,"['20 Rue Du Sommerard', 'Paris', 'France']",Hotel,75005,5,2
Hôtel Les Degrés de Notre Dame,57605cd7498e08200afeb8cb,48.85143206876871,2.349502444267273,75005,Paris,"['10 rue des Grands Degrés', '75005 Paris', 'France']",Hotel,75005,5,2
Hôtel California Saint-Germain,4bb6500f1344b71345509d04,48.84901012152041,2.3472022028806543,75005,Paris,"['32 rue des Écoles', '75005 Paris', 'France']",Hotel,75005,5,4
Hôtel Parc Saint-Séverin,4be7dd3788ed2d7f1227cb1d,48.85170769077482,2.3448753697582188,75005,Paris,"['22 rue de la Parcheminerie', '75005 Paris', 'France']",Hotel,75005,5,10
Hôtel Esméralda,4be1a3948dd062b5806f3e3c,48.852467895753534,2.347189038991928,75005,Paris,"['4 rue Saint-Julien le Pauvre', '75005 Paris', 'France']",Hotel,75005,5,2
Hotel St. Michel,4d572689d8f7a09083d2e40a,48.852348,2.34424,75005,Paris,"['19, Rue Cujas', '75005 Paris', 'France']",Hotel,75005,5,0
Hôtel Henri IV Rive Gauche,4cf12e897bf3b60c5d115e7f,48.85188520158255,2.3462911695241924,75005,Paris,"['11 rue Saint-Jacques (Rue Galande)', '75005 Paris', 'France']",Hotel,75005,5,8
Hôtel du Commerce,4d3742f7db5ba35d3b4442c7,48.84883037889582,2.3485415622925685,75005,Paris,"['14 rue de la Montagne Sainte-Geneviève', '75005 Paris', 'France']",Hotel,75005,5,3
Hotel Villa Pantheon,4ca265811ee76dcba53cf0dd,48.849027691312855,2.3471474025959647,75005,Paris,"['39 rue des ecoles', '75005 Paris', 'France']",Hotel,75005,5,18
Pick A Flat - Quartier Latin,570a5752498e08a79601376b,48.85004577912055,2.3453280192972947,75005,Paris,"['Rue du Sommerard (St-Jacques)', '75005 Paris', 'France']",Bed & Breakfast,75005,5,0
Pierre Airbnb,519cd005498e7eaa74a974c3,48.849632,2.3513040000000003,,Paris,"['Boulevard Saint Germain 38', 'Paris', 'France']",Bed & Breakfast,75005,5,0
Hôtel La Tour Notre Dame,4adcda01f964a5204c3121e3,48.85023811694564,2.3451113298557202,75005,Paris,"['20 rue du Sommerard', '75005 Paris', 'France']",Hotel,75005,5,3
Timhotel Jardin des Plantes,4d39a4756de7721e73a0e649,48.843855,2.354868,75005,Paris,"['5 rue Linné (Jardin des Plantes)', '75005 Paris', 'France']",Hotel,75005,5,0
Tim Hotel,4bc7a9f014d795216be067e9,48.84392102471058,2.3549125864182154,,,['France'],Hostel,75005,5,4
Hôtel du Jeu de Paume,4adcd9fef964a520763021e3,48.852196094599456,2.3562290187782797,75004,Paris,"[""54, rue Saint Louis en l'ile"", '75004 Paris', 'France']",Hotel,75004,4,6
Au 27,4d1931891356a093d35be882,48.850166421099644,2.3542070388793945,75005,Paris,"['27 quai de la Tournelle', '75005 Paris', 'France']",Hotel,75005,5,0
Waytostay,4d41e5afaed776eb91746897,48.85131,2.3576,75004,Paris,"[""Quai d'Anjou, 04ème Marais"", '75004 Paris', 'France']",Hotel,75004,4,0
Nevonun Yeri :D,52cd30b0498e12fb252a52b4,48.85263442993164,2.3544602394104004,,,['France'],Hotel,75004,4,0
Hôtel Saint-Louis,4adcd9fff964a5207f3021e3,48.85266784726747,2.3541636327891102,75004,Paris,"[""75 Rue Saint-Louis-en-l'Île"", '75004 Paris', 'France']",Hotel,75004,4,8
Hôtel de Lutèce,4adcda04f964a520133221e3,48.8525250458918,2.354668527918842,75004,Paris,"[""65 Rue Saint Louis-en-l'ile"", '75004 Paris', 'France']",Hotel,75004,4,3
